latitude,longitude,time
37.6484,-122.45332,1212837072.0
37.74999,-122.39535,1212844009.0
37.61634,-122.38608,1212856058.0
37.61606,-122.38828,1212860488.0
37.63437,-122.40392,1212861927.0
37.66872,-122.39374,1212862906.0
37.61643,-122.38614,1212868438.0
37.61783,-122.38642,1212869816.0
37.61469,-122.39694,1212873261.0
37.61493,-122.397,1212874950.0
37.65446,-122.40779,1212880680.0
37.64289,-122.40601,1212885713.0
37.78085,-122.39952,1212891986.0
37.80056,-122.43813,1212897562.0
37.65143,-122.45284,1212926062.0
37.61653,-122.38625,1212945272.0
37.61608,-122.38826,1212947904.0
37.61442,-122.39313,1212952815.0
37.62772,-122.40208,1212956582.0
37.61652,-122.38627,1212960208.0
