latitude,longitude,cluster
37.79204,-122.41039,4
37.79175,-122.41068,4
37.79175,-122.41068,4
37.7922,-122.40773,4
37.79049,-122.40761,4
37.78882,-122.40821,4
37.78662,-122.40792,4
37.78651,-122.40874,4
37.7865,-122.40878,4
37.78625,-122.41077,4
37.78624,-122.41077,4
37.7866,-122.411,4
37.78572,-122.41009,4
37.78544,-122.40917,4
37.78423,-122.408,4
37.78278,-122.4064,4
37.78142,-122.4047,4
37.77873,-122.40146,4
37.77684,-122.39853,4
37.77672,-122.39851,4
37.77672,-122.39851,4
37.77446,-122.40132,4
37.77166,-122.4049,4
37.76944,-122.40201,4
37.76424,-122.40152,4
37.76109,-122.39957,4
37.75718,-122.39892,4
37.75595,-122.39883,4
37.75596,-122.39883,4
37.75986,-122.39914,4
37.76015,-122.39412,4
37.763,-122.393,4
37.77275,-122.39885,4
37.7754,-122.40176,4
37.77743,-122.40376,4
37.78058,-122.3999,4
37.78106,-122.39922,4
37.78422,-122.39487,4
37.78839,-122.39089,4
37.7884,-122.39088,4
37.78767,-122.39053,4
37.78583,-122.39318,4
37.78516,-122.39436,4
37.78219,-122.39253,4
37.78047,-122.39025,4
37.78037,-122.3904,4
37.78036,-122.39041,4
37.78108,-122.39014,4
37.78246,-122.38836,4
37.78331,-122.38833,4
37.78489,-122.38816,4
37.78726,-122.38796,4
37.78993,-122.39117,4
37.79264,-122.39407,4
37.79339,-122.39641,4
37.79623,-122.39695,4
37.79926,-122.39999,4
37.80165,-122.39993,4
37.80312,-122.4012,4
37.80459,-122.40274,4
37.80676,-122.40626,4
37.80715,-122.40908,4
37.80647,-122.41411,4
37.8063,-122.41581,4
37.80606,-122.41757,4
37.80616,-122.4185,4
37.80616,-122.4185,4
37.80599,-122.41818,4
37.80431,-122.41586,4
37.80091,-122.41106,4
37.79923,-122.40856,4
37.79826,-122.40716,4
37.79668,-122.40531,4
37.79231,-122.40499,4
37.79221,-122.40791,4
37.79246,-122.41066,4
37.79257,-122.4107,4
37.79207,-122.41047,4
37.79202,-122.40748,4
37.79185,-122.4072,4
37.79185,-122.4072,4
37.7915,-122.40726,4
37.79137,-122.40412,4
37.78659,-122.40238,4
37.78564,-122.40288,4
37.7857,-122.40574,4
37.78576,-122.40654,4
37.78576,-122.40654,4
37.78467,-122.40723,4
37.78363,-122.40854,4
37.78047,-122.4125,4
