latitude,longitude,cluster
37.78729,-122.4005,8
37.78489,-122.404,8
37.78189,-122.40522,8
37.78187,-122.40459,0
37.78227,-122.40409,0
37.78365,-122.40219,0
37.78557,-122.39976,0
37.78866,-122.39572,0
37.79002,-122.39506,0
37.7905,-122.3953,0
37.79013,-122.39721,0
37.78747,-122.40037,0
37.78499,-122.40356,0
37.7826,-122.40651,0
37.78154,-122.40909,0
37.77899,-122.41112,0
37.77802,-122.41555,0
37.77724,-122.41694,0
37.77529,-122.41906,0
37.77527,-122.41904,0
37.77368,-122.42089,0
37.77168,-122.42354,0
37.77086,-122.42451,0
37.76761,-122.42437,0
37.76483,-122.4239,0
37.76487,-122.4233,0
37.76488,-122.4232,0
37.76533,-122.42196,0
37.76853,-122.42226,0
37.77275,-122.42217,0
37.77614,-122.42275,7
37.77776,-122.42341,7
37.77667,-122.42473,7
37.77625,-122.42621,7
37.77531,-122.42599,7
37.77532,-122.42599,7
37.77501,-122.42591,7
37.77501,-122.42591,7
37.77431,-122.42582,7
37.77385,-122.42741,7
37.77123,-122.42688,7
37.77015,-122.42917,7
37.76849,-122.42766,7
37.76549,-122.43132,7
37.76447,-122.4328,7
37.76615,-122.42879,7
37.76629,-122.42634,7
37.76654,-122.42229,7
37.76656,-122.42212,7
37.76658,-122.4221,7
37.77259,-122.42256,7
37.77473,-122.41984,7
37.77695,-122.41742,7
37.77834,-122.41521,7
37.77992,-122.41326,7
37.7826,-122.4123,7
37.78388,-122.413,7
37.78355,-122.41574,4
37.78348,-122.41604,4
37.7832,-122.41785,4
37.78321,-122.41782,4
37.78215,-122.41857,4
37.78261,-122.41574,4
37.78447,-122.4159,4
37.78483,-122.4126,4
37.7856,-122.40949,4
37.78679,-122.40965,4
37.79008,-122.41044,4
37.7917,-122.41106,4
37.79271,-122.41427,4
37.79522,-122.41488,4
37.79897,-122.41566,4
37.80008,-122.41218,4
37.79993,-122.40966,4
37.79901,-122.40827,4
37.79901,-122.40827,4
37.79902,-122.40828,4
37.79848,-122.40746,4
37.79732,-122.40582,4
37.79558,-122.40505,4
37.79045,-122.40396,4
37.78715,-122.40314,4
37.78492,-122.40023,4
37.78242,-122.40157,4
37.78381,-122.40192,4
37.78461,-122.40089,4
37.78459,-122.4009,4
37.78461,-122.40089,4
37.78473,-122.40073,2
