latitude,longitude,cluster
37.73112,-122.47168,2
37.72428,-122.47211,2
37.71654,-122.47231,2
37.70449,-122.47144,2
37.6908,-122.4702,2
37.67741,-122.47109,2
37.66444,-122.46551,2
37.65343,-122.45542,2
37.64287,-122.4451,2
37.63154,-122.43621,2
37.63279,-122.41989,2
37.63366,-122.40331,2
37.62072,-122.3994,2
37.61556,-122.39216,2
37.61556,-122.39216,2
37.61499,-122.38995,2
37.61487,-122.38966,2
37.61487,-122.38966,2
37.61354,-122.39509,2
37.62364,-122.40129,2
37.63361,-122.40965,2
37.62966,-122.42553,2
37.63445,-122.43883,2
37.64487,-122.44912,2
37.65573,-122.45881,2
37.66797,-122.46589,2
37.68041,-122.47177,2
37.69379,-122.47047,2
37.70718,-122.47142,2
37.71738,-122.4729,2
37.72394,-122.47515,2
37.72714,-122.47498,2
37.7316,-122.47491,2
37.73986,-122.47547,2
37.74397,-122.47573,2
37.75201,-122.4763,2
37.76123,-122.47698,2
37.76372,-122.47722,2
37.77117,-122.47953,2
37.77242,-122.48758,2
37.77213,-122.49339,2
37.77679,-122.4942,2
37.77891,-122.49435,2
37.77993,-122.48966,2
37.78023,-122.48354,2
37.78041,-122.47921,2
37.78343,-122.47856,2
37.78498,-122.47755,2
37.78498,-122.47754,2
37.78406,-122.48121,2
37.78106,-122.48477,2
37.77426,-122.48428,2
37.77089,-122.47927,2
37.76354,-122.47712,2
37.7616,-122.47691,2
37.74735,-122.47583,2
37.73962,-122.47534,2
37.73482,-122.47264,2
37.72798,-122.4719,2
37.71864,-122.47243,2
37.71147,-122.47124,2
37.69905,-122.47126,2
37.68522,-122.47124,2
37.6726,-122.46729,2
37.65959,-122.46327,2
37.64956,-122.45191,2
37.63902,-122.44125,2
37.62961,-122.42924,2
37.63445,-122.41384,2
37.62875,-122.40194,2
37.6158,-122.3976,2
37.61518,-122.38514,2
37.61505,-122.3903,2
37.61582,-122.39862,2
37.62797,-122.4026,2
37.6341,-122.41314,2
37.62836,-122.42841,2
37.63551,-122.43937,2
37.64596,-122.45011,2
37.65698,-122.46044,2
37.66948,-122.46619,2
37.68208,-122.47173,2
37.6954,-122.4707,2
37.70931,-122.47115,2
37.7179,-122.47341,2
37.727,-122.47499,2
37.73647,-122.47532,2
37.74486,-122.47598,2
37.74484,-122.48123,2
37.74633,-122.48584,2
37.74692,-122.48887,2
37.74692,-122.48887,2
37.74692,-122.48886,2
37.74692,-122.48889,2
37.74692,-122.48888,2
37.74689,-122.48886,2
37.74993,-122.48911,2
37.75379,-122.48718,2
37.75411,-122.47983,2
37.75611,-122.47632,2
37.75307,-122.47629,2
37.75101,-122.47484,2
37.75028,-122.47595,2
37.75029,-122.47593,2
37.74941,-122.47603,2
37.74223,-122.47553,2
37.73546,-122.47507,2
37.72872,-122.47464,2
37.72205,-122.47502,2
37.72066,-122.48127,2
37.72331,-122.48499,2
37.71481,-122.48514,2
37.70528,-122.48582,2
