latitude,longitude,time,speed
37.7418,-122.40325,Wednesday 28 May 16:38:24,0.053687460883
37.74278,-122.39988,Wednesday 28 May 16:39:24,0.058493351949
37.74598,-122.39704,Wednesday 28 May 16:40:24,0.0713084068597
37.7519,-122.39503,Wednesday 28 May 20:53:13,0.000412151078197
37.75131,-122.39539,Wednesday 28 May 20:54:18,0.0106332068897
37.75134,-122.39535,Wednesday 28 May 20:55:13,0.000909090909302
37.75121,-122.39473,Wednesday 28 May 20:56:18,0.00974588367056
37.75144,-122.39487,Wednesday 28 May 21:03:53,0.000591776352438
37.75126,-122.39526,Wednesday 28 May 21:04:47,0.00795434503509
37.74977,-122.3966,Wednesday 28 May 21:05:47,0.0333986859358
37.74863,-122.40702,Wednesday 28 May 21:06:52,0.161264236104
37.74836,-122.41016,Wednesday 28 May 21:07:33,0.0768679732162
37.74824,-122.41778,Wednesday 28 May 21:09:19,0.0718957058802
37.74874,-122.42034,Wednesday 28 May 21:10:05,0.0567037204182
37.7515,-122.42057,Wednesday 28 May 21:11:05,0.0461594458854
37.75212,-122.42262,Wednesday 28 May 21:12:05,0.0356950821386
37.75192,-122.42498,Wednesday 28 May 21:13:05,0.0394743235817
37.75163,-122.42912,Wednesday 28 May 21:14:05,0.0691690762631
37.75134,-122.43361,Wednesday 28 May 21:15:05,0.0749892584901
37.75493,-122.43442,Wednesday 28 May 21:16:06,0.0603318779852
37.75756,-122.43726,Wednesday 28 May 21:18:50,0.0236019722353
37.75759,-122.43732,Wednesday 28 May 21:21:13,0.000469105170143
37.76229,-122.4359,Wednesday 28 May 21:22:26,0.0672579024775
37.76456,-122.43262,Wednesday 28 May 21:24:26,0.033240809089
37.76789,-122.42835,Wednesday 28 May 21:25:27,0.0887698484757
37.77126,-122.42411,Wednesday 28 May 21:26:28,0.0887890706077
37.77447,-122.42005,Wednesday 28 May 21:27:29,0.0848472709793
37.77615,-122.41807,Wednesday 28 May 21:28:29,0.0432781700168
37.777,-122.41646,Wednesday 28 May 21:29:40,0.0256423140181
37.7809,-122.41219,Wednesday 28 May 21:30:30,0.11565967318
37.78209,-122.41015,Wednesday 28 May 21:31:31,0.0387166471836
37.78193,-122.4099,Wednesday 28 May 21:32:31,0.00494694069328
37.782,-122.40987,Wednesday 28 May 21:33:31,0.00126929551752
37.78131,-122.40886,Wednesday 28 May 21:34:31,0.020386542402
37.77741,-122.41326,Wednesday 28 May 21:35:31,0.0979937639737
37.77532,-122.41572,Wednesday 28 May 21:36:31,0.0537992668269
37.77337,-122.41837,Wednesday 28 May 21:37:31,0.0548356129213
37.77226,-122.4198,Wednesday 28 May 21:38:32,0.0296762065854
37.77156,-122.42237,Wednesday 28 May 21:39:32,0.0443937558173
37.7687,-122.42235,Wednesday 28 May 21:40:33,0.0468863922822
37.7661,-122.42208,Wednesday 28 May 21:41:38,0.0402151021119
37.76357,-122.42187,Wednesday 28 May 21:42:33,0.0461581900901
37.76171,-122.4217,Wednesday 28 May 21:43:34,0.0306188960702
37.75901,-122.42362,Wednesday 28 May 21:44:34,0.0552177507691
37.7564,-122.42338,Wednesday 28 May 21:45:39,0.0403232500804
37.75537,-122.42327,Wednesday 28 May 21:45:56,0.0609327725297
37.75252,-122.423,Wednesday 28 May 21:46:56,0.0477126817524
37.74916,-122.42269,Wednesday 28 May 21:47:56,0.0562378381913
37.74425,-122.42268,Wednesday 28 May 21:48:56,0.0818335030549
37.74424,-122.42267,Wednesday 28 May 21:49:57,0.000231838288987
37.74424,-122.42269,Wednesday 28 May 21:50:57,0.000333333333439
37.74423,-122.42269,Wednesday 28 May 21:51:58,0.000163934426165
37.74401,-122.42271,Wednesday 28 May 21:52:59,0.00362142984167
37.74576,-122.42452,Wednesday 28 May 21:54:00,0.0412730760908
37.7477,-122.4247,Wednesday 28 May 21:55:00,0.0324722103413
37.74935,-122.42675,Wednesday 28 May 21:56:01,0.043139991367
37.74904,-122.43192,Wednesday 28 May 21:57:01,0.0863214277506
37.74965,-122.43614,Wednesday 28 May 21:58:02,0.0698993402259
37.75391,-122.43654,Wednesday 28 May 21:59:07,0.0658267404882
37.7578,-122.43801,Wednesday 28 May 22:02:10,0.0227239633944
37.75793,-122.43802,Wednesday 28 May 22:02:12,0.0651920240509
37.75929,-122.43509,Wednesday 28 May 22:03:12,0.0538374611419
37.7623,-122.4351,Wednesday 28 May 22:04:12,0.0501669435209
37.76524,-122.43168,Wednesday 28 May 22:05:12,0.0751664818919
37.76816,-122.42806,Wednesday 28 May 22:07:12,0.0387574365624
37.77025,-122.42536,Wednesday 28 May 22:08:13,0.0559737048105
37.77462,-122.42084,Wednesday 28 May 22:09:12,0.10656057697
37.77768,-122.42139,Wednesday 28 May 22:10:17,0.0478313110789
37.78046,-122.42197,Wednesday 28 May 22:10:42,0.113594366058
37.78627,-122.42319,Wednesday 28 May 22:11:42,0.0989451306983
37.78714,-122.42087,Wednesday 28 May 22:12:42,0.0412960181025
37.78846,-122.42022,Wednesday 28 May 22:13:43,0.0241206543472
37.78984,-122.42054,Wednesday 28 May 22:14:45,0.0228486400864
37.79198,-122.42099,Wednesday 28 May 22:15:44,0.0370644291016
37.7926,-122.41955,Wednesday 28 May 22:16:44,0.0261300167964
37.79098,-122.4175,Wednesday 28 May 22:18:02,0.0334978680865
37.79098,-122.4175,Wednesday 28 May 22:18:40,0.0
37.79154,-122.41316,Wednesday 28 May 22:19:02,0.19890817683
37.79154,-122.41316,Wednesday 28 May 22:19:29,0.0
37.79193,-122.41031,Wednesday 28 May 22:20:02,0.0871684983666
37.79239,-122.4062,Wednesday 28 May 22:21:06,0.0646197184132
37.79243,-122.40355,Wednesday 28 May 22:22:08,0.0427468043484
37.79262,-122.40313,Wednesday 28 May 22:22:44,0.0128049228571
37.79248,-122.40251,Wednesday 28 May 22:23:41,0.0111510516365
37.79086,-122.40232,Wednesday 28 May 22:24:22,0.0397830224551
37.78832,-122.40009,Wednesday 28 May 22:25:20,0.0582761171184
37.78689,-122.39835,Wednesday 28 May 22:26:25,0.0346495557834
37.78527,-122.39608,Wednesday 28 May 22:27:25,0.0464796849291
37.78276,-122.39329,Wednesday 28 May 22:28:25,0.0625482036335
37.78065,-122.39072,Wednesday 28 May 22:29:26,0.0545115862374
37.77625,-122.39451,Wednesday 28 May 22:30:22,0.103700812043
37.77037,-122.39789,Wednesday 28 May 22:31:21,0.114953246057
37.76284,-122.39199,Wednesday 28 May 22:32:21,0.1594355495
37.75898,-122.3904,Wednesday 28 May 22:33:21,0.069577494765
37.75789,-122.39311,Wednesday 28 May 22:34:21,0.048683216364
37.75846,-122.39319,Wednesday 28 May 22:35:07,0.0125127534184
37.75847,-122.3932,Wednesday 28 May 22:35:09,0.00707106780909
37.76244,-122.39359,Wednesday 28 May 22:36:09,0.0664851696077
37.76403,-122.39481,Wednesday 28 May 22:37:09,0.0334020125808
37.76373,-122.39933,Wednesday 28 May 22:38:14,0.0696914586465
37.76369,-122.40341,Wednesday 28 May 22:39:09,0.0741853831583
37.76457,-122.40674,Wednesday 28 May 22:40:09,0.0574052359208
37.76435,-122.41033,Wednesday 28 May 22:41:10,0.05896286279
37.76478,-122.41304,Wednesday 28 May 22:42:10,0.0457317055103
37.76545,-122.41466,Wednesday 28 May 22:43:10,0.0292180499768
37.76522,-122.41728,Wednesday 28 May 22:44:11,0.0431160007301
37.76499,-122.42141,Wednesday 28 May 22:45:11,0.0689399900072
37.76796,-122.42209,Wednesday 28 May 22:46:11,0.0507808472207
37.76828,-122.4221,Wednesday 28 May 22:47:11,0.00533593686445
37.76825,-122.42212,Wednesday 28 May 22:47:18,0.00515078753632
37.77208,-122.42254,Wednesday 28 May 22:48:18,0.0642159983528
37.77439,-122.42079,Wednesday 28 May 22:49:18,0.0483005636037
37.77911,-122.42189,Wednesday 28 May 22:50:18,0.0807747210183
37.78537,-122.42291,Wednesday 28 May 22:51:19,0.103976306399
37.78646,-122.42184,Wednesday 28 May 22:52:19,0.0254569353135
37.78783,-122.42173,Wednesday 28 May 22:53:20,0.0225312944899
37.78753,-122.42181,Wednesday 28 May 22:53:43,0.0134992823447
37.78753,-122.42181,Wednesday 28 May 22:53:46,0.0
37.7892,-122.42045,Wednesday 28 May 22:54:42,0.0384592449277
37.79096,-122.41771,Wednesday 28 May 22:55:53,0.0458670789431
37.79131,-122.41427,Wednesday 28 May 22:57:07,0.0467264782449
37.7921,-122.40907,Wednesday 28 May 22:57:44,0.142153169996
37.79247,-122.40664,Wednesday 28 May 22:58:12,0.0877859758222
37.7928,-122.40416,Wednesday 28 May 22:59:08,0.0446760590819
37.79287,-122.40415,Wednesday 28 May 23:00:12,0.00110485434562
37.79288,-122.40423,Wednesday 28 May 23:01:08,0.00143968888356
37.79288,-122.40421,Wednesday 28 May 23:02:08,0.000333333333202
37.79275,-122.40424,Wednesday 28 May 23:03:08,0.00222361067731
37.79259,-122.40432,Wednesday 28 May 23:04:08,0.00298142396999
37.79284,-122.40414,Wednesday 28 May 23:05:20,0.00427858938911
37.7927,-122.40397,Wednesday 28 May 23:06:09,0.00449443174387
37.79311,-122.40407,Wednesday 28 May 23:07:09,0.00703364928194
37.79316,-122.40408,Wednesday 28 May 23:07:17,0.00637377439192
37.79349,-122.40334,Wednesday 28 May 23:08:17,0.0135041145992
37.79037,-122.40389,Wednesday 28 May 23:09:23,0.048001616517
37.78997,-122.40588,Wednesday 28 May 23:10:18,0.0369055081108
37.78924,-122.40713,Wednesday 28 May 23:11:23,0.0222699946727
37.78924,-122.40713,Wednesday 28 May 23:11:51,0.0
37.78924,-122.40715,Wednesday 28 May 23:13:33,0.000196078431435
37.78959,-122.40538,Wednesday 28 May 23:14:38,0.027758041641
37.78931,-122.40695,Wednesday 28 May 23:15:33,0.0289958674742
37.78927,-122.40675,Wednesday 28 May 23:16:34,0.00334361935305
37.78846,-122.40687,Wednesday 28 May 23:17:41,0.0122215021468
37.78606,-122.40646,Wednesday 28 May 23:18:36,0.0442685269615
37.78445,-122.40452,Wednesday 28 May 23:19:36,0.0420175227996
37.78342,-122.40288,Wednesday 28 May 23:20:41,0.0297941656654
37.7791,-122.40081,Wednesday 28 May 23:21:36,0.0870969821378
37.7693,-122.40554,Wednesday 28 May 23:22:37,0.178389658322
37.75802,-122.4049,Wednesday 28 May 23:23:39,0.182228087743
37.75279,-122.40296,Wednesday 28 May 23:24:04,0.223128662435
37.74936,-122.40193,Wednesday 28 May 23:25:04,0.0596885434754
37.74939,-122.40184,Wednesday 28 May 23:26:04,0.00158113882984
37.74939,-122.40187,Wednesday 28 May 23:27:04,0.000499999999922
37.74941,-122.40186,Wednesday 28 May 23:27:13,0.00248451997508
37.74962,-122.39849,Wednesday 28 May 23:27:44,0.108920538297
37.74852,-122.39672,Wednesday 28 May 23:48:19,0.00168741908634
37.74852,-122.39672,Wednesday 28 May 23:48:38,0.0
37.74735,-122.39618,Wednesday 28 May 23:48:55,0.0758002291586
37.74506,-122.39227,Wednesday 28 May 23:49:56,0.0742827388355
37.74506,-122.39227,Wednesday 28 May 23:50:09,0.0
37.74094,-122.38497,Wednesday 28 May 23:50:44,0.239496751288
37.73629,-122.37942,Wednesday 28 May 23:51:45,0.118696902159
37.73169,-122.37919,Wednesday 28 May 23:52:45,0.0767624401789
37.73097,-122.37646,Wednesday 28 May 23:53:25,0.0705837268781
37.73097,-122.37646,Wednesday 28 May 23:53:27,0.0
37.73108,-122.37713,Wednesday 28 May 23:54:28,0.011130652588
37.73437,-122.37939,Wednesday 28 May 23:55:28,0.0665242228232
37.73916,-122.38153,Wednesday 28 May 23:56:28,0.0874383910089
37.74262,-122.38768,Wednesday 28 May 23:57:30,0.113814410701
37.74262,-122.38769,Wednesday 28 May 23:58:31,0.000163934426282
37.74504,-122.39202,Wednesday 28 May 23:59:41,0.0708624709978
37.74707,-122.39559,Thursday 29 May 00:00:29,0.0855583175058
37.74953,-122.3972,Thursday 29 May 00:01:29,0.0490002834459
37.74956,-122.40355,Thursday 29 May 00:02:30,0.104099522389
37.74829,-122.41297,Thursday 29 May 00:03:31,0.155823358672
37.74816,-122.41996,Thursday 29 May 00:04:30,0.118495063819
37.74614,-122.42235,Thursday 29 May 00:05:25,0.0568963099211
37.74494,-122.42462,Thursday 29 May 00:06:24,0.0435197340387
37.7449,-122.42467,Thursday 29 May 00:07:24,0.00106718737291
37.74489,-122.42467,Thursday 29 May 00:08:25,0.000163934426282
37.7449,-122.42467,Thursday 29 May 00:08:53,0.000357142857256
37.74497,-122.42458,Thursday 29 May 00:09:49,0.00203602754483
37.74496,-122.4246,Thursday 29 May 00:10:49,0.000372677996156
37.74496,-122.4246,Thursday 29 May 00:12:05,0.0
37.74496,-122.4246,Thursday 29 May 00:12:54,0.0
37.74495,-122.42459,Thursday 29 May 00:13:49,0.000257129738604
37.74495,-122.42459,Thursday 29 May 00:14:05,0.0
37.74496,-122.42461,Thursday 29 May 00:14:49,0.000508197267703
37.74493,-122.42464,Thursday 29 May 00:15:49,0.00070710678116
37.74496,-122.42456,Thursday 29 May 00:17:04,0.00113920049935
